สถานี,วันที่-เวลา,pH,DO,EC,Temp
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 03:30,6.4,0.1,582.1,25.9
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 04:00,6.4,0.1,578.4,25.9
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 04:30,6.4,0.1,574.8,25.9
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 05:00,6.4,0.1,567.5,25.8
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 05:30,6.4,0.1,564.8,25.8
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 06:00,6.5,0.1,561.4,25.7
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 06:30,6.5,0.1,557.8,25.7
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 07:00,6.5,0.1,552.9,25.8
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 07:30,6.4,0.1,553.2,25.8
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 08:00,6.4,0.1,553.6,25.9
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 08:30,6.4,0.1,554.2,25.9
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 09:00,6.4,0.1,555.7,25.9
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 09:30,6.3,0.1,556.7,26
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 10:00,6.3,0.2,558.3,26
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 10:30,6.3,0.2,551.8,26
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 11:00,6.3,0.2,551.8,26.1
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 11:30,6.2,0.3,553.3,26.2
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 12:00,6.2,0.4,545.4,26.1
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 12:30,6.2,1.3,543.9,26.5
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 13:00,6.2,1.1,542.3,26.5
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 13:30,6.2,1.4,540.5,26.6
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 14:00,6.2,1.2,538.4,26.7
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 14:30,6.3,1,536,26.7
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 15:00,6.3,0.7,533.6,26.6
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 15:30,6.3,0.6,530.6,26.7
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 16:00,6.4,0.6,527.5,26.7
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 16:30,6.4,0.6,525.1,26.7
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 17:00,6.4,0.5,522.7,26.7
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 17:30,6.4,0.5,521.4,26.6
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 18:00,6.4,0.4,519.6,26.5
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 18:30,6.4,0.3,517.8,26.4
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 19:00,6.4,0.3,516.5,26.3
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 19:30,6.4,0.3,515.3,26.3
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 20:00,6.4,0.3,510.1,26.2
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 20:30,6.4,0.3,510.3,26.2
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 21:00,6.4,0.3,511.2,26.2
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 21:30,6.3,0.3,511.5,26.2
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 22:00,6.3,0.3,506.3,26.2
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 22:30,6.3,0.3,507.1,26.2
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 23:00,6.3,0.3,496.8,26.2
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 23:30,6.3,0.3,508.5,26.2
กระทุ่มแบน จ.สมุทรสาคร (117),26 ม.ค.2558 00:00,6.3,0.3,502.3,26.2
กระทุ่มแบน จ.สมุทรสาคร (117),26 ม.ค.2558 00:30,6.3,0.3,502.2,26.2
กระทุ่มแบน จ.สมุทรสาคร (117),26 ม.ค.2558 01:00,6.3,0.2,495.8,26.2
กระทุ่มแบน จ.สมุทรสาคร (117),26 ม.ค.2558 01:30,6.4,0.1,489.6,26.2
กระทุ่มแบน จ.สมุทรสาคร (117),26 ม.ค.2558 02:00,6.4,0.1,489.4,26.1
กระทุ่มแบน จ.สมุทรสาคร (117),26 ม.ค.2558 02:30,6.4,0.1,482.9,26.1
